CustomerID,first_purchase,last_purchase,n_orders,mean_order_value,frequency,recency,T,monetary,actual_future_purchases
12346,2011-01-18 10:01:00,2011-01-18 10:01:00,1,77183.6,0,0,230,77183.6,0.0
12347,2010-12-07 14:57:00,2011-08-02 08:48:00,5,558.172,4,237,272,558.172,2.0
12348,2010-12-16 19:09:00,2011-04-05 10:47:00,3,495.74666666666667,2,109,263,495.74666666666667,1.0
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,1,334.4,0,0,215,334.4,0.0
12352,2011-02-16 12:33:00,2011-03-22 16:08:00,5,312.36199999999997,4,34,201,312.36199999999997,3.0
12353,2011-05-19 17:47:00,2011-05-19 17:47:00,1,89.0,0,0,109,89.0,0.0
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1079.4,0,0,137,1079.4,0.0
12355,2011-05-09 13:49:00,2011-05-09 13:49:00,1,459.4,0,0,119,459.4,0.0
12356,2011-01-18 09:50:00,2011-04-08 12:33:00,2,1376.54,1,80,230,1376.54,1.0
12358,2011-07-12 10:04:00,2011-07-12 10:04:00,1,484.86,0,0,55,484.86,1.0
12359,2011-01-12 12:43:00,2011-06-03 12:26:00,3,1165.243333333333,2,141,236,1165.243333333333,1.0
12360,2011-05-23 09:43:00,2011-08-19 10:10:00,2,809.14,1,88,105,809.14,1.0
12361,2011-02-25 13:51:00,2011-02-25 13:51:00,1,189.9,0,0,192,189.9,0.0
12362,2011-02-17 10:30:00,2011-08-11 15:02:00,4,436.8375,3,175,200,436.8375,6.0
12363,2011-04-11 13:29:00,2011-08-22 10:18:00,2,276.0,1,132,147,276.0,0.0
12364,2011-08-19 15:24:00,2011-08-19 15:24:00,1,623.92,0,0,17,623.92,3.0
12365,2011-02-21 13:51:00,2011-02-21 14:04:00,2,320.69,1,0,196,320.69,0.0
12370,2010-12-14 12:58:00,2011-03-10 12:48:00,3,935.4699999999999,2,85,265,935.4699999999999,1.0
12372,2011-02-16 12:46:00,2011-05-11 10:43:00,2,457.46000000000004,1,83,201,457.46000000000004,1.0
12373,2011-02-01 13:10:00,2011-02-01 13:10:00,1,364.6,0,0,216,364.6,0.0
12375,2011-09-02 14:23:00,2011-09-02 14:23:00,1,230.3,0,0,3,230.3,1.0
12377,2010-12-20 09:37:00,2011-01-28 15:45:00,2,814.06,1,39,259,814.06,0.0
